City,VAT Catheter Measure Score,National Average VAT Catheter Measure Score,VAT Fistula Measure Score,National Average Fistula Measure Score,Vascular Access Combined Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Measure Score,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,National Average Hypercalcemia Measure Score,NHSN Influenza Measure Score,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score,National Average NHSN BSI Measure Score,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score,Mineral Metabolism Measure Score,National Avg Mineral Metabolism Measure Score,Anemia Management Measure Score,National Average Anemia Management Measure Score,Standardized Readmission Ratio (SRR) Measure Score,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,National Average STrR Measure Score,Clinical Depression Screening and Follow-up Measure Score,National Average Clinical Depression Screening and Follow-up Measure Score,Pain Assessment and Follow-up Measure Score,National Average Pain Assessment and Follow-up Measure Score,Total Performance Score
ALLIANCE,8.0,5.0,2.0,5.0,5.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,68.0
ALMA,8.0,5.0,8.0,5.0,8.0,5.0,10.0,8.0,8.0,8.0,10.0,9.0,1.0,6.0,5.0,7.0,9.0,5.0,9.0,9.0,10.0,10.0,3.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,69.0
ALPENA,9.0,5.0,9.0,5.0,9.0,5.0,8.0,8.0,9.0,8.0,10.0,9.0,5.0,6.0,7.0,7.0,7.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,76.0
ALSIP,3.0,5.0,5.0,5.0,4.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,9.0,6.0,9.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,72.0
ALTAVISTA,0.0,5.0,2.0,5.0,1.0,5.0,7.0,8.0,10.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,1.0,5.0,9.0,5.0,10.0,10.0,10.0,10.0,63.0
ALTON,0.5,5.0,2.0,5.0,1.0,5.0,7.5,8.0,7.5,8.0,10.0,9.0,3.5,6.0,6.0,7.0,6.5,5.0,8.0,9.0,10.0,10.0,4.0,5.0,8.0,5.0,10.0,10.0,10.0,10.0,59.5
ALTOONA,2.5,5.0,6.0,5.0,4.0,5.0,7.5,8.0,10.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,5.0,5.0,9.0,9.0,10.0,10.0,2.5,5.0,1.0,5.0,10.0,10.0,10.0,10.0,59.0
AMARILLO,5.0,5.0,2.5,5.0,4.0,5.0,9.0,8.0,8.5,8.0,10.0,9.0,4.5,6.0,6.5,7.0,5.0,5.0,8.0,9.0,10.0,10.0,3.5,5.0,2.5,5.0,10.0,10.0,10.0,10.0,59.5
AMERICAN FORK,9.0,5.0,10.0,5.0,9.0,5.0,1.0,8.0,9.0,8.0,10.0,9.0,0.0,6.0,4.0,7.0,8.0,5.0,9.0,9.0,10.0,10.0,4.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,65.0
AMERICUS,9.0,5.0,1.0,5.0,5.0,5.0,10.0,8.0,7.0,8.0,10.0,9.0,4.0,6.0,6.0,7.0,5.0,5.0,10.0,9.0,10.0,10.0,2.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,63.0
AMHERST,1.67,5.0,3.33,5.0,2.33,5.0,9.33,8.0,9.0,8.0,10.0,9.0,4.67,6.0,5.67,7.0,7.33,5.0,10.0,9.0,10.0,10.0,3.0,5.0,2.33,5.0,10.0,10.0,10.0,10.0,60.67
AMITE,8.0,5.0,0.0,5.0,4.0,5.0,7.0,8.0,9.0,8.0,10.0,9.0,1.0,6.0,5.0,7.0,8.0,5.0,10.0,9.0,10.0,10.0,5.0,5.0,0.0,5.0,10.0,10.0,10.0,10.0,60.0
AMITYVILLE,6.0,5.0,7.0,5.0,6.0,5.0,7.0,8.0,8.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,2.0,5.0,8.0,9.0,10.0,10.0,5.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,58.0
ANAHEIM,5.8,5.0,7.4,5.0,6.4,5.0,9.0,8.0,9.0,8.0,10.0,9.0,4.2,6.0,6.4,7.0,4.8,5.0,9.8,9.0,10.0,10.0,3.8,5.0,1.8,5.0,10.0,10.0,10.0,10.0,62.6
ANCHORAGE,3.5,5.0,6.5,5.0,4.5,5.0,7.5,8.0,8.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,8.0,5.0,7.5,9.0,10.0,10.0,6.0,5.0,6.5,5.0,10.0,10.0,10.0,10.0,73.5
ANDERSON,4.5,5.0,1.25,5.0,3.0,5.0,8.5,8.0,10.0,8.0,10.0,9.0,6.0,6.0,7.5,7.0,6.0,5.0,9.5,9.0,10.0,10.0,5.25,5.0,4.25,5.0,10.0,10.0,10.0,10.0,65.5
ANGLETON,10.0,5.0,9.0,5.0,10.0,5.0,7.0,8.0,3.0,8.0,10.0,9.0,6.0,6.0,8.0,7.0,3.0,5.0,10.0,9.0,10.0,10.0,2.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,60.0
ANNISTON,8.0,5.0,2.0,5.0,5.0,5.0,9.0,8.0,8.0,8.0,10.0,9.0,8.0,6.0,9.0,7.0,6.0,5.0,10.0,9.0,10.0,10.0,3.0,5.0,3.0,5.0,10.0,10.0,10.0,10.0,66.0
ANTIOCH,6.67,5.0,6.67,5.0,6.67,5.0,7.67,8.0,9.67,8.0,10.0,9.0,7.0,6.0,8.33,7.0,4.67,5.0,9.33,9.0,10.0,10.0,5.33,5.0,7.67,5.0,10.0,10.0,10.0,10.0,71.0
APEX,3.0,5.0,3.0,5.0,3.0,5.0,10.0,8.0,9.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,9.0,5.0,10.0,9.0,10.0,10.0,9.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,81.0
APOPKA,9.0,5.0,0.0,5.0,5.0,5.0,8.0,8.0,9.0,8.0,10.0,9.0,1.0,6.0,5.0,7.0,4.0,5.0,8.0,9.0,10.0,10.0,1.0,5.0,4.0,5.0,10.0,10.0,10.0,10.0,54.0
APPLE VALLEY,8.5,5.0,6.0,5.0,7.0,5.0,7.0,8.0,7.5,8.0,10.0,9.0,7.0,6.0,8.0,7.0,7.5,5.0,10.0,9.0,10.0,10.0,5.5,5.0,3.5,5.0,10.0,10.0,10.0,10.0,71.0
APPLETON,5.0,5.0,5.0,5.0,5.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,10.0,6.0,10.0,7.0,4.0,5.0,10.0,9.0,10.0,10.0,10.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,81.0
ARDMORE,10.0,5.0,4.0,5.0,7.0,5.0,10.0,8.0,10.0,8.0,10.0,9.0,7.0,6.0,8.0,7.0,8.0,5.0,10.0,9.0,10.0,10.0,4.0,5.0,7.0,5.0,10.0,10.0,10.0,10.0,79.0
ARKADELPHIA,9.0,5.0,8.0,5.0,9.0,5.0,5.0,8.0,10.0,8.0,10.0,9.0,2.0,6.0,5.0,7.0,5.0,5.0,9.0,9.0,10.0,10.0,8.0,5.0,1.0,5.0,10.0,10.0,10.0,10.0,64.0
ARLINGTON,3.8,5.0,4.2,5.0,4.0,5.0,7.4,8.0,6.8,8.0,10.0,9.0,5.8,6.0,7.6,7.0,5.6,5.0,9.4,9.0,10.0,10.0,6.6,5.0,6.4,5.0,10.0,10.0,9.8,10.0,66.2
